Tytu³;GG-Drama;GG-DramaW;GG-Comedy;GG-ComedyW;GG-DramaM1;GG-DramaM1W;GG-ComedyM1;GG-ComedyM1W;GG-DramaK1;GG-DramaK1W;GG-ComedyK1;GG-ComedyK1W;GG-M2;GG-M2W;GG-K2;GG-K2W;GG-Dir;GG-DirW;GG-Screen;GG-ScreenW;GG-Music;GG-MusicW;B-Film;B-M1;B-K1;B-M2;B-K2;B-Dir;B-ScreenO;B-ScreenA;B-Zdj;B-Music;B-Scen;B-Kost;B-Mon;B-ChF;B-Efekty;B-Sound;CC-Film;CC-FilmW;CC-Komedia;CC-KomediaW;CC-K1;CC-K1W;CC-M1;CC-M1W;CC-K2;CC-K2W;CC-M2;CC-M2W;CC-Dir;CC-DirW;CC-ScreenA;CC-ScreenAW;CC-ScreenO;CC-ScreenOW;CC-Music;CC-MusicW;CC-Scen;CC-ScenW;CC-Kost;CC-KostW;CC-Zdj;CC-ZdjW;CC-Mon;CC-MonW;CC-Efekty;CC-EfektyW;CC-ChF;CC-ChFW;PGA;DGA;SAG-team;SAG-M1;SAG-K1;SAG-M2;SAG-K2;WGA-ScreenO;WGA-ScreenA;ADG;CDG;ZS;ASC;ACE;O-Film;O-Dir;O-M1;O-K1;O-M2;O-K2;O-ScreenO;O-ScreenA;O-Zdj;O-Muzyka;O-Scen;O-Kost;O-ChF;O-Efekty;O-Mont;O-Sound
The 40-Year-Old Version;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
Quo Vadis, Aida?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
Ammonite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
Babyteeth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
The Prom;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;;;;
Barb and Star Go to Vista Del Mar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
The White Tiger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Calm with Horses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
Cherry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;
Clemency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
